"","GATA3","AR","MEK1","PDK1","Notch1","p90RSK_Caution"
"141",0.412286,-0.344093,-0.479972,0.144117,0.193202,0.225471
"142",0.429427,-0.182884,0.020566,0.003625,-0.173941,-0.287855
"143",0.693677,-0.123074,0.022132,0.042401,-0.11561,0.252746
"144",0.368213,2.496545,0.568893,-0.000694,-0.293475,-0.01539
"145",-0.044752,-0.092957,-0.007171,-0.014978,0.256645,-0.025684
"146",0.34202,0.050503,-0.557546,-0.114841,-0.249099,-0.524136
"147",-0.285175,0.883288,0.100291,-0.078529,0.388395,-0.445842
"148",-0.790061,-0.457788,0.492151,0.146215,0.51276,0.174048
"149",-0.656813,-0.195224,0.143462,0.399973,0.382978,-0.069745
"150",-0.789221,-0.229131,0.798528,0.104922,-0.768912,0.141427
"151",-0.260193,1.756122,0.058363,-0.118845,-0.576969,0.420201
"152",0.033561,-0.262899,0.237585,0.034921,1.550942,0.212612
"153",0.066208,1.374517,0.357032,-0.236966,0.248181,-0.449786
"154",-0.362194,0.270087,0.395924,-0.091666,-0.768756,-0.339001
"155",0.821341,-0.205871,-0.611258,0.177969,-0.191065,0.200468
"156",-0.168215,-0.232684,-0.07096,0.016243,-0.196997,-0.015156
"157",0.347955,0.049517,-0.158024,-0.215835,0.170381,-0.45487
"158",-1.005667,0.426874,-0.303457,-0.531456,-0.22432,0.085495
"159",0.411778,-0.194998,0.271488,-0.13327,0.183601,0.012381
"160",1.427208,-0.326005,0.160723,-0.13249,-0.238739,0.150752
"161",0.843092,-0.170272,0.359239,-0.225952,0.133664,0.056732
"162",-0.124911,1.197347,-0.293087,-0.116114,-0.359939,0.16863
"163",-0.690625,0.572616,-0.119005,-0.264152,0.175138,0.271076
"164",-0.065588,-0.0095,0.334954,0.101235,-0.052718,0.52811
"165",0.006095,-0.044863,0.845048,-0.425501,-0.229367,0.326354
"166",0.123336,-0.034605,-0.769934,-0.278136,1.119905,-0.122976
"167",-0.674085,-0.365802,0.408919,-0.114559,-0.021355,-0.920989
"168",-0.038269,0.085126,-0.010476,-0.033874,0.259419,0.063363
"169",0.188408,0.12807,-0.685912,-0.450858,0.614873,0.020975
"170",0.020276,-0.025245,-0.075162,0.225732,0.413638,0.805556
"171",-0.852272,-0.213482,-0.129816,-0.082978,-0.507494,-0.686636
"172",-0.013148,-0.142655,0.377605,-0.027591,0.5395,-0.628275
"173",0.238092,-0.149099,-1.237334,-0.027581,-0.007032,-0.271151
"174",2.297567,-0.262719,0.128633,0.024159,-1.009915,-0.578665
"175",1.903015,-0.15889,0.388501,0.091677,-0.984338,-0.607599
"176",0.547639,0.421155,-0.462714,-0.297889,-0.160868,-0.73746
"177",0.825497,-0.001766,-0.284482,-0.163187,0.444821,-0.238442
"178",0.091071,0.227323,-0.100048,-0.018232,-0.555365,0.442919
"179",0.14251,0.941542,-0.334885,-0.254268,-0.3537,0.135602
"180",-0.116165,-0.067342,0.191001,-0.071375,0.918975,-0.285203
"181",-0.259528,0.030685,-0.181151,-0.088455,0.23056,-0.017466
"182",0.013512,-0.000389,-0.230441,-0.038973,0.012195,0.00873
"183",0.410661,1.220644,0.671594,-0.211941,-0.615402,-0.687656
"184",-0.011812,0.232953,-0.205656,-0.164499,-0.224062,0.684469
"185",0.253678,-0.247842,0.095691,-0.137773,-0.289091,-0.779218
"186",0.470023,-0.065548,0.265329,0.056481,-0.567947,0.386141
"187",0.074424,-0.069828,0.105918,-0.073391,-0.215651,-0.232179
"188",-0.620597,-0.523495,-0.072455,0.033139,1.623646,-0.074946
"189",0.296352,-0.095318,0.2285,0.017122,-0.578453,-0.015227
"190",-0.63464,-0.231976,0.111105,-0.160953,-0.348821,0.063194
"191",-0.503613,-0.242972,-0.191484,0.075321,0.745714,0.863793
"192",-0.517259,0.451421,0.246887,-0.291723,0.398522,0.290989
"193",0.019329,-0.041544,0.510432,0.163796,0.260313,-0.289143
"194",-0.32911,-0.423854,0.588209,-0.16763,0.055368,0.191377
"195",-0.208118,-0.305094,0.519828,-0.123402,-0.927414,-0.049657
"196",-0.525132,0.076727,-0.352612,-0.086979,0.307075,0.092471
"197",-0.121686,-0.317346,0.354966,-0.12782,0.503308,0.557254
"198",-0.432215,-0.108825,-0.010857,-0.113718,0.907874,-0.374672
